dist_x	pH	Cl	Ca	C(4)	Ys.calcite
0.005	2.00031	0.010985	3.7961E-06	3.7961E-06	0
0.015	2.00337	0.010985	0.000041756	0.000041756	0
0.025	2.04024	0.010985	0.00047828	0.00047828	0
0.035	2.22791	0.010985	0.0022206	0.0022206	0
0.045	4.44448	0.010984	0.0055118	0.0055118	0.023419692
0.055	5.08236	0.010984	0.005657	0.005657	0.02821374
0.065	5.26191	0.010984	0.0057417	0.0057417	0.028441044
0.075	5.37894	0.010984	0.0058164	0.0058164	0.028566504
0.085	5.46579	0.010984	0.0058843	0.0058843	0.02865654
0.095	5.53467	0.010984	0.0059471	0.0059471	0.028725912
0.105	5.59222	0.010984	0.0060063	0.0060063	0.028783476
0.115	5.64166	0.010984	0.0060626	0.0060626	0.028832184
0.125	5.68508	0.010984	0.0061165	0.0061165	0.028874988
0.135	5.72383	0.010984	0.0061682	0.0061682	0.028913364
0.145	5.75885	0.010984	0.0062181	0.0062181	0.028948788
0.155	5.79079	0.010984	0.0062663	0.0062663	0.028979784
0.165	5.82018	0.010984	0.006313	0.006313	0.029009304
0.175	5.84739	0.010984	0.0063583	0.0063583	0.029037348
0.185	5.87273	0.010984	0.0064023	0.0064023	0.029063916
0.195	5.89643	0.010984	0.006445	0.006445	0.029087532
0.205	5.9187	0.010984	0.0064866	0.0064866	0.029111148
0.215	5.93969	0.010984	0.0065272	0.0065272	0.029133288
0.225	5.95954	0.010984	0.0065667	0.0065667	0.029155428
0.235	5.97837	0.010984	0.0066051	0.0066051	0.029176092
0.245	5.99626	0.010984	0.0066427	0.0066427	0.02919528
0.255	6.0133	0.010984	0.0066793	0.0066793	0.029214468
0.265	6.02957	0.010984	0.0067151	0.0067151	0.029233656
0.275	6.04513	0.010984	0.00675	0.00675	0.029251368
0.285	6.06002	0.010984	0.006784	0.006784	0.029267604
0.295	6.07431	0.010984	0.0068173	0.0068173	0.029285316
0.305	6.08802	0.010984	0.0068498	0.0068498	0.029301552
0.315	6.10121	0.010984	0.0068816	0.0068816	0.029317788
0.325	6.1139	0.010984	0.0069126	0.0069126	0.029332548
0.335	6.12612	0.010984	0.006943	0.006943	0.029347308
0.345	6.13791	0.010984	0.0069726	0.0069726	0.029362068
0.355	6.14928	0.010984	0.0070016	0.0070016	0.029376828
0.365	6.16027	0.010984	0.0070299	0.0070299	0.029390112
0.375	6.17088	0.010984	0.0070576	0.0070576	0.029404872
0.385	6.18115	0.010984	0.0070846	0.0070846	0.029418156
0.395	6.19109	0.010984	0.007111	0.007111	0.029429964
0.405	6.20071	0.010984	0.0071369	0.0071369	0.029443248
0.415	6.21003	0.010985	0.0071622	0.0071622	0.029455056
0.425	6.21907	0.010985	0.0071869	0.0071869	0.02946834
0.435	6.22783	0.010985	0.007211	0.007211	0.029480148
0.445	6.23634	0.010985	0.0072347	0.0072347	0.02949048
0.455	6.2446	0.010985	0.0072578	0.0072578	0.029502288
0.465	6.25263	0.010985	0.0072804	0.0072804	0.029514096
0.475	6.26038	0.010985	0.0073024	0.0073024	0.029524428
0.485	6.26734	0.010985	0.0073223	0.0073223	0.02953476
0.495	6.27182	0.010985	0.0073351	0.0073351	0.02954214
