      dist_x	          pH	          Cl	          Ca	        C(4)	   k_Calcite	  dk_Calcite
0.005	2	0.010985	2.1863E-10	2.1863E-10	0	0
0.015	2	0.010985	2.4045E-09	2.4045E-09	0	0
0.025	2	0.010985	2.7537E-08	2.7537E-08	0	0
0.035	2.00003	0.010985	3.1508E-07	3.1508E-07	0	0
0.045	2.00029	0.010985	3.6053E-06	3.6053E-06	0	0
0.055	2.00333	0.010985	0.000041252	0.000041252	0	0
0.065	2.03968	0.010985	0.00047201	0.00047201	0	0
0.075	2.22516	0.010985	0.0021999	0.0021999	0	0
0.085	4.19417	0.010984	0.0054788	0.0054788	0.0122344164	-0.0054035
0.095	5.01956	0.010984	0.005634	0.005634	0.026734788	-0.00018145
0.105	5.22624	0.010984	0.0057223	0.0057223	0.027168732	-0.000097453
0.115	5.35209	0.010984	0.0057976	0.0057976	0.027373896	-0.000079642
0.125	5.44317	0.010984	0.0058654	0.0058654	0.02752002	-0.000070577
0.135	5.51491	0.010984	0.0059282	0.0059282	0.027635148	-0.000064771
0.145	5.57436	0.010984	0.0059873	0.0059873	0.027731088	-0.000060583
0.155	5.62522	0.010984	0.0060433	0.0060433	0.02781522	-0.00005733
0.165	5.66973	0.010984	0.006097	0.006097	0.02788902	-0.000054674
0.175	5.70936	0.010984	0.0061485	0.0061485	0.02795544	-0.000052425
0.185	5.7451	0.010984	0.0061982	0.0061982	0.028015956	-0.00005047
0.195	5.77766	0.010984	0.0062462	0.0062462	0.02807352	-0.000048734
0.205	5.80758	0.010984	0.0062927	0.0062927	0.028126656	-0.000047167
0.215	5.83525	0.010984	0.0063378	0.0063378	0.028175364	-0.000045734
0.225	5.861	0.010984	0.0063817	0.0063817	0.028222596	-0.00004441
0.235	5.88508	0.010984	0.0064244	0.0064244	0.028268352	-0.000043176
0.245	5.90768	0.010984	0.0064659	0.0064659	0.028311156	-0.000042017
0.255	5.92899	0.010984	0.0065063	0.0065063	0.028352484	-0.000040922
0.265	5.94913	0.010984	0.0065458	0.0065458	0.028392336	-0.000039882
0.275	5.96822	0.010984	0.0065843	0.0065843	0.028430712	-0.000038891
0.285	5.98636	0.010984	0.0066218	0.0066218	0.028466136	-0.000037943
0.295	6.00365	0.010984	0.0066585	0.0066585	0.028503036	-0.000037032
0.305	6.02014	0.010984	0.0066942	0.0066942	0.028536984	-0.000036156
0.315	6.03591	0.010984	0.0067292	0.0067292	0.028570932	-0.000035311
0.325	6.05101	0.010984	0.0067633	0.0067633	0.028603404	-0.000034493
0.335	6.06549	0.010984	0.0067967	0.0067967	0.0286344	-0.000033702
0.345	6.07939	0.010984	0.0068293	0.0068293	0.028665396	-0.000032935
0.355	6.09276	0.010984	0.0068612	0.0068612	0.028694916	-0.000032189
0.365	6.10562	0.010984	0.0068923	0.0068924	0.028724436	-0.000031465
0.375	6.11801	0.010984	0.0069228	0.0069228	0.02875248	-0.00003076
0.385	6.12996	0.010984	0.0069526	0.0069526	0.028780524	-0.000030073
0.395	6.1415	0.010984	0.0069817	0.0069817	0.028807092	-0.000029404
0.405	6.15264	0.010984	0.0070102	0.0070102	0.02883366	-0.000028751
0.415	6.1634	0.010984	0.007038	0.007038	0.028860228	-0.000028114
0.425	6.17382	0.010984	0.0070653	0.0070653	0.02888532	-0.000027491
0.435	6.18389	0.010984	0.0070919	0.0070919	0.028910412	-0.000026883
0.445	6.19365	0.010984	0.0071179	0.0071179	0.028934028	-0.000026289
0.455	6.20311	0.010985	0.0071434	0.0071434	0.028957644	-0.000025709
0.465	6.21227	0.010985	0.0071683	0.0071683	0.02898126	-0.000025141
0.475	6.22109	0.010985	0.0071924	0.0071924	0.0290034	-0.000024587
0.485	6.229	0.010985	0.0072143	0.0072143	0.02902554	-0.000024064
0.495	6.23408	0.010985	0.0072284	0.0072284	0.0290403	-0.000023667
